PRODUTO	PREÇO	LOCALIDADE	PÁGINA NA LOJA
ALUGA-SE SALA COMERCIAL, RUA XV DE NOVEMBRO, VILA NOVA JLLE.	R$8.500,00	Joinville, Vila Nova	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/aluga-se-sala-comercial-rua-xv-de-novembro-vila-nova-jlle-1386447971
Loja no Fort Atacadista	R$600.000,00	Florianópolis, Santo Antônio de Lisboa	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/loja-no-fort-atacadista-1380720590
VENDO ACADEMIA COMPLETA	R$335.000,00	Blumenau, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/vendo-academia-completa-1385303754
OFICINA DE MOTOS COMPLETA	R$90.000,00	Balneário Camboriú, Vila Real	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/oficina-de-motos-completa-1387147611
Vendo Loja de Auto Peças a 11 anos no mercado.	R$80.000,00	Florianópolis, Capoeiras	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vendo-loja-de-auto-pecas-a-11-anos-no-mercado-1374302410
Vendo Loja de Auto Peças a 11 anos no mercado	R$80.000,00	Florianópolis, Capoeiras	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/vendo-loja-de-auto-pecas-a-11-anos-no-mercado-1384046403
Espaço disponível para Lash designer	R$550,00	Canoinhas, Centro	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/espaco-disponivel-para-lash-designer-1387141107
Sala estética para sublocar ,dois a três dias disponíveis o dia todo.	----	Florianópolis, Santa Mônica	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-estetica-para-sublocar-dois-a-tres-dias-disponiveis-o-dia-todo-1387140716
Alugo Galpão 700m² GARUVA	R$10.000,00	Joinville, Petrópolis	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/alugo-galpao-700m-garuva-1376153466
Sala Comercial no Centro de Palhoça 210m²	R$8.000,00	Palhoça, Centro	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-no-centro-de-palhoca-210m-1387137361
Lindo Consultório Odontológico no Centro de Florianópolis	R$190.000,00	Florianópolis, Jardim Atlântico	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/lindo-consultorio-odontologico-no-centro-de-florianopolis-1361913386
Galpao pará locação!	R$2.800,00	São José, Forquilhas	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/galpao-para-locacao-1385585639
Aluguel de Consultório Estético para Harmonização Facial	R$220,00	Florianópolis, Rio Tavares	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/aluguel-de-consultorio-estetico-para-harmonizacao-facial-1336463627
MERCADO A VENDA	R$375.000,00	Joinville, Adhemar Garcia	https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-industria/mercado-a-venda-1376437726
Sala comercial - Lagoa da Conceição	R$2.000,00	Florianópolis, Lagoa da Conceição	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/sala-comercial-lagoa-da-conceicao-1386424140
Aluga-se sala comercial com opção de comprar os móveis.	R$1.800,00	Tubarão, Humaitá	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/aluga-se-sala-comercial-com-opcao-de-comprar-os-moveis-1387129677
Permuta imóvel, ja FOI VENDIDA...localização Portugal Algarve / lagos praia	R$15.000.000,00	Florianópolis, Ingleses do Rio Vermelho	https://sc.olx.com.br/florianopolis-e-regiao/comercio-e-industria/permuta-imovel-ja-foi-vendida-localizacao-portugal-algarve-lagos-praia-1255949187
